manufSN,internalSN,itemCode,itemName,customer,custmrName,Distance,cntrctEnd,contractID,Name
,68,Continuous Sealing Machine,Continuous Sealing Machine,CIC SEEDS,Cic Seeds Pvt Ltd,,,,0
,69,Continuous Sealing Machine,Continuous Sealing Machine,AMMA INDUS,Amma industries,,,,0
,71,Continuous Sealing Machine,Continuous Sealing Machine,Diesel & Motor,Diesel & Motor Engineering PLC,,,,Manager Production
,72,Continuous Sealing Machine,Continuous Sealing Machine,Diesel & Motor,Diesel & Motor Engineering PLC,,,,Manager Production
,70,Continuous Sealing Machine,Continuous Sealing Machine,Allied Com,Allied Commercial Fertilizers (Pvt) Ltd,,,,Accounts
,21008 - 1 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,JFINCO,Finlays Colombo Limited,,,,0
,21008 - 2 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,CONTINENTAL TEA,CONTtNENTAL TEA (PR|VATE) LTMTTED,,,,Mr. Indika
,21008 - 3 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,BLC House,BLC HOUSE(PVT)LTD,,,,Manager Production
,21008 - 4 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,Arilsobinshan,Arilsobinshan Nishanthan,,,,0
,21008 - 5 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,Chrysalis,Chrysalis,,,,Accounts
,21008 - 6 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,Chrysalis,Chrysalis,,,,Accounts
,21008 - 7 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,LIPTON,Unilever Lipton Ceylon Ltd,,,,Mr.Bandaranaike
,21008 - 8 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,HEMAS,Hemas Manufacturing Pvt Ltd,,,,0
,21008 - 9 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,HEMAS,Hemas Manufacturing Pvt Ltd,,,,0
,21008 - 10 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,HEMAS,Hemas Manufacturing Pvt Ltd,,,,0
,21008 - 11 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,SIRITHURA AYURV,Sirithura Ayurvedic Drugs Manufacture (Pvt) Ltd,,,,0
,21008 - 12 - 10/03,Continuous Sealing Machine,Continuous Sealing Machine,FREELAN,Freelan Enterprises Pvt Ltd,,,,0
,21035   - 16/03/2022,Three Stage Grinding Machine ( MC1206+MMP10+MMP10),Three Stage Grinding Machine ( MC1206+MMP10+MMP10),NATURE CEYLON,Naturally Ceylon Pvt Ltd,,,,The Accountant
,M-4,Automated Arecanut De-husker Machine,Automated Arecanut De-husker Machine,Wickrama Stores,Wickrama Stores,,,,Owerner
,21822,"Electric Tapping Machine 220V, 1 Phase","Electric Tapping Machine 220V, 1 Phase",MAS INTIMATES,Mas Intimates Pvt Ltd,,,,Mr Lakshitha
